Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2019,2019,2019,4,0,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,13905018,,,,13905018,,1453514,,,0
H4,2019,2019,2019,4,0,1,Import,4,Afghanistan,AFG,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,6715,,,,6715,,3294,,,0
H4,2019,2019,2019,4,0,1,Import,4,Afghanistan,AFG,364,Iran,IRN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,11230,,,,11230,,5250,,,0
H4,2019,2019,2019,4,0,1,Import,4,Afghanistan,AFG,586,Pakistan,PAK,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,5056680,,,,5056680,,1269261,,,0
H4,2019,2019,2019,4,0,1,Import,4,Afghanistan,AFG,762,Tajikistan,TJK,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,8565850,,,,8565850,,45418,,,0
H4,2019,2019,2019,4,0,1,Import,4,Afghanistan,AFG,795,Turkmenistan,TKM,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,264543,,,,264543,,130289,,,0
H4,2016,2016,2016,4,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,76316,,,,76316,,10881,,,0
H4,2016,2016,2016,4,0,1,Import,8,Albania,ALB,381,Italy,ITA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,76316,,,,76316,,10881,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,4032354,,,,,,3044367,,,6
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,56,Belgium,BEL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,35420,,,,35420,,17102,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,58800,,,,58800,,39646,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,251,France,FRA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,369305,,,,369305,,289512,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,364,Iran,IRN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,60,,,,60,,284,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,381,Italy,ITA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,3539000,,,,3539000,,2667434,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,410,Rep. of Korea,KOR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,56,,,,56,,950,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,724,Spain,ESP,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,22400,,,,22400,,12368,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,792,Turkey,TUR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,6240,,,,6240,,16255,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,804,Ukraine,UKR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1073,,,,,,811,,,6
H4,2016,2016,2016,4,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,4087084,,,,4087084,,3386345,,,6
H4,2016,2016,2016,4,0,1,Import,12,Algeria,DZA,36,Australia,AUS,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,5,,,,5,,3,,,0
